case,model1_ts,model2_ts,ppl_diff,avgnll_diff,total_diff
Collections_19,20251218_075532,20251218_075543,0.05429751781804848,0.05119812852671658,0.10549564634476506
Jsoup_70,20251218_075532,20251218_075543,0.05231424758024317,0.050800371737707226,0.10311461931795039
Closure_150,20251218_075532,20251218_075543,0.053666128608582,0.04901456610486532,0.10268069471344732
Closure_66,20251218_075532,20251218_075543,0.05187576099666935,0.05052936114252934,0.1024051221391987
Lang_63,20251218_075532,20251218_075543,0.05153823615289377,0.04937037995608595,0.10090861610897972
Jsoup_2,20251218_075532,20251218_075543,0.05100275850079172,0.04966661319356833,0.10066937169436005
Math_51,20251218_075532,20251218_075543,0.05089379444106168,0.0492311597113966,0.10012495415245828
Time_20,20251218_075532,20251218_075543,0.05078609277190105,0.048504414598337195,0.09929050737023824
JacksonXml_1,20251218_075532,20251218_075543,0.050064794261263756,0.04834634967916926,0.09841114394043302
Math_44,20251218_075532,20251218_075543,0.04999718259498098,0.047962812394308295,0.09795999498928928
Math_91,20251218_075532,20251218_075543,0.0497307656630912,0.04722969812825849,0.09696046379134969
JacksonDatabind_6,20251218_075532,20251218_075543,0.049136534289548894,0.04675256984774023,0.09588910413728913
Time_16,20251218_075532,20251218_075543,0.04856688289364519,0.046792841269263336,0.09535972416290853
Closure_34,20251218_075532,20251218_075543,0.04871580466632586,0.04617500964591302,0.09489081431223888
Closure_97,20251218_075532,20251218_075543,0.047198421849040884,0.04593937972674543,0.09313780157578631
Closure_68,20251218_075532,20251218_075543,0.047003942140706245,0.04584789442492063,0.09285183656562687
Compress_26,20251218_075532,20251218_075543,0.04714490975489638,0.04444883929358588,0.09159374904848226
Closure_170,20251218_075532,20251218_075543,0.044801335196086756,0.042583187031828645,0.0873845222279154
Closure_9,20251218_075532,20251218_075543,0.04421614120329842,0.04282011460242261,0.08703625580572102
Compress_17,20251218_075532,20251218_075543,0.04363734346285786,0.04234346336253573,0.08598080682539358
Closure_60,20251218_075532,20251218_075543,0.043529907744155105,0.042331664829530755,0.08586157257368586
Math_71,20251218_075532,20251218_075543,0.04318826251877783,0.042225342243909836,0.08541360476268767
Math_95,20251218_075532,20251218_075543,0.043890647468069144,0.04143832879802631,0.08532897626609545
Math_39,20251218_075532,20251218_075543,0.042920992042007056,0.041923585687612556,0.08484457772961962
Math_17,20251218_075532,20251218_075543,0.04351560699252466,0.04038603832305472,0.08390164531557938
JacksonDatabind_15,20251218_075532,20251218_075543,0.041035720868094705,0.03966738376766443,0.08070310463575914
Closure_109,20251218_075532,20251218_075543,0.04080008406368618,0.039709697246674766,0.08050978131036095
Closure_140,20251218_075532,20251218_075543,0.04069292089094545,0.039239472860411545,0.079932393751357
Time_3,20251218_075532,20251218_075543,0.04026334560818001,0.0393673448652447,0.07963069047342472
Math_53,20251218_075532,20251218_075543,0.04048888475903989,0.03875042752521794,0.07923931228425783
Closure_167,20251218_075532,20251218_075543,0.03975943214408173,0.03888912962414434,0.07864856176822607
Math_7,20251218_075532,20251218_075543,0.0382550079449806,0.037445101151911186,0.07570010909689179
Closure_46,20251218_075532,20251218_075543,0.03851145221575325,0.03705893662297403,0.07557038883872727
JacksonDatabind_85,20251218_075532,20251218_075543,0.03832877671465296,0.036797275931323696,0.07512605264597666
Compress_28,20251218_075532,20251218_075543,0.03784227086662062,0.03679896594602941,0.07464123681265003
Closure_41,20251218_075532,20251218_075543,0.037038275822109945,0.03624184172051733,0.07328011754262728
Math_75,20251218_075532,20251218_075543,0.03658830027273141,0.03566975695021609,0.07225805722294751
Closure_32,20251218_075532,20251218_075543,0.03650562714635597,0.03569454319023515,0.07220017033659112
Math_90,20251218_075532,20251218_075543,0.03645223005498188,0.03569699401583526,0.07214922407081714
Closure_7,20251218_075532,20251218_075543,0.0367357016881007,0.03483867489891808,0.07157437658701878
Math_20,20251218_075532,20251218_075543,0.036456789207890195,0.0349586757029722,0.0714154649108624
JacksonDatabind_25,20251218_075532,20251218_075543,0.03585996227371013,0.03516526555176824,0.07102522782547838
Closure_126,20251218_075532,20251218_075543,0.035954741181862815,0.03494708986777282,0.07090183104963563
Closure_69,20251218_075532,20251218_075543,0.03599682163802753,0.03483192627286076,0.07082874791088829
Jsoup_75,20251218_075532,20251218_075543,0.03618045066563291,0.03446716101628565,0.07064761168191856
Codec_7,20251218_075532,20251218_075543,0.03551104044274256,0.034681112417041526,0.07019215285978408
Math_33,20251218_075532,20251218_075543,0.035619148359923525,0.03452243659554458,0.0701415849554681
Closure_86,20251218_075532,20251218_075543,0.035942694108316964,0.033984833108092916,0.06992752721640988
Closure_141,20251218_075532,20251218_075543,0.03527279625987867,0.03371670688888352,0.06898950314876219
Closure_114,20251218_075532,20251218_075543,0.03467623183475932,0.03379539205450875,0.06847162388926807
Jsoup_32,20251218_075532,20251218_075543,0.03452933358463217,0.03346592658596446,0.06799526017059662
JacksonDatabind_75,20251218_075532,20251218_075543,0.0342843933748358,0.033505678871033354,0.06779007224586915
JacksonDatabind_82,20251218_075532,20251218_075543,0.03397913176759748,0.033381898048039725,0.06736102981563721
Jsoup_85,20251218_075532,20251218_075543,0.034007939161358136,0.033186357142811145,0.06719429630416929
Collections_12,20251218_075532,20251218_075543,0.03382049904733675,0.03243244976084349,0.06625294880818024
Csv_9,20251218_075532,20251218_075543,0.033455960972012866,0.03276846089533397,0.06622442186734684
Chart_9,20251218_075532,20251218_075543,0.03350703191714888,0.032705884889007886,0.06621291680615676
Lang_20,20251218_075532,20251218_075543,0.03346438836523391,0.03269537897673722,0.06615976734197113
Closure_72,20251218_075532,20251218_075543,0.03341676031793206,0.03259181344265629,0.06600857376058836
Compress_43,20251218_075532,20251218_075543,0.03205850377337316,0.03141942532038537,0.06347792909375853
JacksonXml_5,20251218_075532,20251218_075543,0.0315731942241082,0.030864781109459852,0.062437975333568055
Closure_102,20251218_075532,20251218_075543,0.031455751226738826,0.030641717925518848,0.062097469152257674
Closure_40,20251218_075532,20251218_075543,0.031293631296223756,0.03065262655938707,0.06194625785561082
Closure_162,20251218_075532,20251218_075543,0.031010722542948344,0.029640695124778422,0.06065141766772676
Time_8,20251218_075532,20251218_075543,0.030160907074658905,0.029379091591185045,0.059539998665843946
